id,tweetID,coordinates,hashtags
1166383453,9.41E+17,"4.8932,52.3731",trndnl
606173587,9.41E+17,,debouwmaakthet
48275823,9.41E+17,"4.94488669,52.31272656",amsterdam
221392517,9.41E+17,,fijnstof
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
7.04E+17,9.41E+17,"4.9411,52.40912",N247
3415573805,9.41E+17,,klm
1166383453,9.41E+17,"4.8932,52.3731",trndnl
14224872,9.41E+17,,plek10
23973844,9.41E+17,,startups
8.05E+17,9.41E+17,,Vamps10Days
8.05E+17,9.41E+17,,Vamps10Days
8.05E+17,9.41E+17,,Vamps10Days
1380398886,9.41E+17,,Vamps10Days
7.75E+17,9.41E+17,,Vamps10Days
7.04E+17,9.41E+17,"4.84556,52.3848",S103
233521320,9.41E+17,,Overijssel
8.62E+17,9.41E+17,,BabyzTrustDaehyun
711050833,9.41E+17,,Vamps10Days
10842942,9.41E+17,,Dutch
711050833,9.41E+17,,Vamps10Days
1166383453,9.41E+17,"4.8932,52.3731",herspa
711050833,9.41E+17,,Vamps10Days
121493492,9.41E+17,,NetNeutrality
148780415,9.41E+17,,kerst
711050833,9.41E+17,,Vamps10Days
221392517,9.41E+17,,trein
2194738604,9.41E+17,"4.8951679,52.3702157",job
711050833,9.41E+17,,Vamps10Days
86947214,9.41E+17,,USX17
8.20E+17,9.41E+17,,illustrations
240812277,9.41E+17,"4.90288,52.38421",europe
239135593,9.41E+17,,GDJB
711050833,9.41E+17,,Vamps10Days
381594947,9.41E+17,"4.8922,52.3731",yogicminimalism
8.18E+17,9.41E+17,,MaxVerstappen
49102644,9.41E+17,"4.86763,52.3637299",boekpresentatie
5838582,9.41E+17,"4.83359926,52.421552",filmklus
1539184286,9.41E+17,,DolanTwinsNewVideo
9.20E+17,9.41E+17,,SorryNotSorry
48275823,9.41E+17,"4.94478,52.31285",hungryman
1098132361,9.41E+17,"4.90330439,52.38329303",temples
14698389,9.41E+17,"4.87639,52.37334",coffee
3598644755,9.41E+17,"4.88109766,52.3646728",Amsterdam
1438149978,9.41E+17,"4.91194,52.35378",afternoontea
90409135,9.41E+17,"4.83357165,52.39245309",regen
8.55E+17,9.41E+17,,Vamps10Days
8.55E+17,9.41E+17,,Vamps10Days
2882547575,9.41E+17,"4.8754053,52.3682853",jeroengardenier
711050833,9.41E+17,,Vamps10Days
1098132361,9.41E+17,"4.90330439,52.38329303",temples
1166383453,9.41E+17,"4.8932,52.3731",herspa
22913694,9.41E+17,,evakoreman
711050833,9.41E+17,,Vamps10Days
92559699,9.41E+17,"5.21864,52.37268",Handmaids
8.55E+17,9.41E+17,,Vamps10Days
369305059,9.41E+17,,NetNeutrality
14698389,9.41E+17,"4.99778,52.355",tbt
1166383453,9.41E+17,"4.8932,52.3731",trndnl
711050833,9.41E+17,,Vamps10Days
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",Top3Apps
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
28081062,9.41E+17,,schandalig
301979373,9.41E+17,"4.76393985,52.30908793",flightmode
1576016604,9.41E+17,,Vamps10Days
28081062,9.41E+17,,beerputnederland
967796504,9.41E+17,"5.21754,52.3702",kerst
15588419,9.41E+17,"4.871152,52.37229666",denk
1978953192,9.41E+17,,SoulSalon
96174984,9.41E+17,,hilton
1166383453,9.41E+17,"4.8932,52.3731",herspa
18773190,9.41E+17,,TeamRogier
1166383453,9.41E+17,"4.8932,52.3731",Gordongaattrouwen
2330506190,9.41E+17,,VampireTheMasquerade
23936872,9.41E+17,,JamesBond
274312381,9.41E+17,,TheGift
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",raad070
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
99689665,9.41E+17,,BORUTO
124763872,9.41E+17,,Vamps10Days
1978953192,9.41E+17,,SoulSalon
3333365644,9.41E+17,,Vamps10Days
109636485,9.41E+17,,MarmiIsMagic
794813234,9.41E+17,"4.76071,52.3085",Brewdog
124763872,9.41E+17,,Vamps10Days
145772188,9.41E+17,,SoundHound
7.12E+17,9.41E+17,,pp3
565802024,9.41E+17,,FreePalestine
3333365644,9.41E+17,,Vamps10Days
297555817,9.41E+17,"4.91833,52.39111",xmas
60878287,9.41E+17,"4.900503,52.372573",Christmas
1166383453,9.41E+17,"4.8932,52.3731",herspa
3333365644,9.41E+17,,Vamps10Days
1475840725,9.41E+17,"4.88939422,52.34162519",nkkoks2016
124763872,9.41E+17,,Vamps10Days
838016551,9.41E+17,,wezijnerklaarvoor
87709840,9.41E+17,,usx17
352276019,9.41E+17,"4.83333,52.45",wereonaboat
9.27E+17,9.41E+17,,sneeuw
352276019,9.41E+17,"4.83333,52.45",wereonaboat
253447969,9.41E+17,,jazzcentrale
1694125783,9.41E+17,"4.8922,52.3731",sketchbook
617964148,9.41E+17,,nszaandam
296710978,9.41E+17,"4.88497699,52.36001907",family
32888643,9.41E+17,,Revival
18989050,9.41E+17,,gelukbijeenongeluk
88039815,9.41E+17,"4.9079,52.36701",hortusbotanicus
9.28E+17,9.41E+17,,stellarlumens
2668711611,9.41E+17,,ExpeditieRobinson
244907353,9.41E+17,,Netflix
2937176327,9.41E+17,"4.888715,52.366925",AMSTERDAM
92584865,9.41E+17,"4.82080719,52.37079658",run
1166383453,9.41E+17,"4.8932,52.3731",herspa
363327276,9.41E+17,,koukleumen
55312180,9.41E+17,,ajaexc
76148054,9.41E+17,"4.94130492,52.3145853",ajaexc
274073522,9.41E+17,,ajaexc
19140633,9.41E+17,"4.888715,52.366925",AMSTERDAM
387381123,9.41E+17,,attent
19450412,9.41E+17,,WZAWZDB
177909082,9.41E+17,,dereunie
20505650,9.41E+17,"4.81597,52.43803",amsterdam
132600005,9.41E+17,,NetNuetrality
58861868,9.41E+17,"4.95305,52.29923",bugabooparty
191056056,9.41E+17,,WTF
317864974,9.41E+17,"4.8922,52.3731",Amsterdam
2330506190,9.41E+17,,GraalVM
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
1166383453,9.41E+17,"4.8932,52.3731",ExpeditieRobinson
7.20E+17,9.41E+17,,WCORO
114565786,9.41E+17,,Brazilie
33569531,9.41E+17,,ajaexc
887615858,9.41E+17,,HIJUEPUTAMENTE
212001777,9.41E+17,,Gordongaattrouwen
58861868,9.41E+17,"4.95305,52.29923",colleague
3205331273,9.41E+17,,hoortoestel
58986523,9.41E+17,"4.898014,52.373503",drink
240812277,9.41E+17,"4.90288,52.38421",europe
92626608,9.41E+17,,J
7102052,9.41E+17,"4.816389,52.473889",zaanseschans
1680874579,9.41E+17,"4.891347,52.366778",torturemuseum
224671737,9.41E+17,"4.8892312,52.3670041",alarm
7.10E+17,9.41E+17,,Basisinkomen2018
1166383453,9.41E+17,"4.8932,52.3731",ajaexc
2566998819,9.41E+17,"4.91323,52.35462",rawcutsmatter
47456973,9.41E+17,,CherryPop
122800168,9.41E+17,,klimaat
183787735,9.41E+17,,AJAexc
131158158,9.41E+17,,mercurs
5567782,9.41E+17,"4.88090986,52.36446225",Mercurs
50000670,9.41E+17,"4.8922,52.3731",Repost
122800168,9.41E+17,,Denk
1693294734,9.41E+17,,smartphone
7.10E+17,9.41E+17,,Basisinkomen2018
216417949,9.41E+17,"4.8922,52.3731",amsterdam
14931475,9.41E+17,"4.91239,52.36677",Leader
218913984,9.41E+17,,bewegingbrengen
121409717,9.41E+17,,sorry
291874795,9.41E+17,,yesssss
113972243,9.41E+17,,neres
7.04E+17,9.41E+17,,RosNaRun
237792562,9.41E+17,"4.8922,52.3731",tbt
326909233,9.41E+17,"4.8907299,52.4047089",thenationals
88039815,9.41E+17,"4.8922,52.3731",plantage
8356052,9.41E+17,,AJAEXC
131158158,9.41E+17,,mercursnl
154615966,9.41E+17,,dtv
825824173,9.41E+17,,Ajax
1693294734,9.41E+17,,bezuinigen
215252309,9.41E+17,,balkwijt
20601516,9.41E+17,,tafelvantijs
113972243,9.41E+17,,ajaexc
92762003,9.41E+17,,lichtjesbrigade
131158158,9.41E+17,,mercursnl
372244371,9.41E+17,,AhmedSurC8
20601516,9.41E+17,,plassenraad
18862888,9.41E+17,,azaja
47351830,9.41E+17,,ajaexc
183787735,9.41E+17,,AJAexc
4097092283,9.41E+17,,ervenconsulent
219603712,9.41E+17,"4.88142272,52.36478095",reggae
7.04E+17,9.41E+17,,RosNaRun
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",ajaexc
86274065,9.41E+17,,ExpeditieRobinson
219603712,9.41E+17,"4.88142272,52.36478095",reggae
197426953,9.41E+17,,expeditierobinson
202121997,9.41E+17,,expeditierobinson
131158158,9.41E+17,,mercursnl
3256673457,9.41E+17,"4.94201341,52.31381897",ajaexc
237792562,9.41E+17,"4.89632,52.36642",back2back
8.61E+17,9.41E+17,,backstreetboys
18773190,9.41E+17,,TeamRogier
19140633,9.41E+17,"4.6808664,52.3163426",HOOFDDORP
189225507,9.41E+17,,gordongaattrouwen
2668711611,9.41E+17,,ExpeditieRobinson
278432668,9.41E+17,,GordonGaatTrouwen
150669088,9.41E+17,,ajaexc
152181017,9.41E+17,"4.8922,52.3731",amsterdam
305488409,9.41E+17,,ExpeditieRobinson
1071308731,9.41E+17,,Gordongaattrouwen
126073175,9.41E+17,"4.680823,52.302477",LifeLiner1
93168741,9.41E+17,,NetNeutraility
242502319,9.41E+17,,azaja
165014815,9.41E+17,,ExpeditieRobinson
242723683,9.41E+17,,Gordongaattrouwen
1166383453,9.41E+17,"4.8932,52.3731",ajaexc
131158158,9.41E+17,,mercurs
202121997,9.41E+17,,ExpeditieRobinson
9.38E+17,9.41E+17,"4.762268,52.308294",IC9263
93168741,9.41E+17,,NetNeutrality
34907026,9.41E+17,,GordonGaatTrouwen
17651133,9.41E+17,"4.83333,52.45",sketchaday
80057254,9.41E+17,,azaja
113972243,9.41E+17,,AJAexc
146956244,9.41E+17,,ajaexc
341676416,9.41E+17,,trotseBrummenaar
55796769,9.41E+17,,Whitehouse
